database_name,database_url,database_information
Colonial America,http://libproxy.clemson.edu/login?url=https://www.colonialamerica.amdigital.co.uk/,"This broad collection consists of the original correspondence between the British government and the governments of the American colonies, making it a uniquely rich resource for all historians of the period.
Module I: Early Settlement, Expansion and Rivalries
Module II: Towards Revolution"
Communication and Mass Media Complete,"http://libproxy.clemson.edu/login?url=http://search.ebscohost.com/login.aspx?authtype=ip,uid&profile=ehost&defaultdb=ufh","communication studies, mass media, and journalism; coverage varies, some journals cover early 1900s-present"
Compendex,http://libproxy.clemson.edu/login?url=http://www.engineeringvillage.com/home.url?acw=,"engineering and related fields; 1884-present
Access made possible with funding from the Callie Jones Shirley Library Endowment with 1884-1969 backfile access courtesy of the Class of '55"
Computer Science Bibliographies,http://liinwww.ira.uka.de/bibliography/index.html,"more than 3 million bibliographies of articles, conference papers, and technical reports"
Computer Source,"http://libproxy.clemson.edu/login?url=http://search.ebscohost.com/login.aspx?authtype=ip,uid&profile=ehost&defaultdb=cph",latest information and current trends in computer technology from scholarly journals and popular magazines; dates vary by publication
Computing Research Repository (CoRR),https://arxiv.org/corr/home,"a repository of technical reports, conference papers, and other open-access documents supported through a partnership of ACM, the arXiv.org eprint archive, and NCSTRL (Networked Computer Science Technical Reference Library)"
Conference Proceedings Citation Index - Science,http://libproxy.clemson.edu/login?url=https://webofknowledge.com/?DestApp=WOS&editions=ISTP,2005-present
Conference Proceedings Citation Index - Social Sciences & Humanities,http://libproxy.clemson.edu/login?url=https://webofknowledge.com/?DestApp=WOS&editions=ISSHP,2005-present
"Confidential Print: Africa, 1834-1966",http://libproxy.clemson.edu/login?url=https://www.archivesdirect.amdigital.co.uk/CP_Africa,"The documents in Confidential Print: Africa begin with coastal trading in the early nineteenth century and the Conference of Berlin of 1884 and the subsequent Scramble for Africa. They then follow the abuses of the Congo Free State, fights against tropical disease, Italy’s defeat by the Abyssinians, World War II, apartheid in South Africa and colonial moves towards independence. Together they cover the whole of the modern period of European colonisation of the continent from the British Government’s perspective."
"Confidential Print: Latin America, 1833-1969",http://libproxy.clemson.edu/login?url=https://www.archivesdirect.amdigital.co.uk/CP_LatinAmerica,"This collection includes topics such as slavery and the slave trade, immigration, relations with indigenous peoples, wars and territorial disputes, the fall of the Brazilian monarchy, British business and financial interests, industrial development, the building of the Panama Canal, and the rise to power of populist rulers such as Perón in Argentina and Vargas in Brazil."
"Confidential Print: Middle East, 1839-1969",http://libproxy.clemson.edu/login?url=https://www.archivesdirect.amdigital.co.uk/CP_MiddleEast,"This collection begins with the Egyptian reforms of Muhammad Ali Pasha in the 1830s, and the documents trace the events of the following 150 years, including the Middle East Conference of 1921, the mandates for Palestine and Mesopotamia, the partition of Palestine, the 1956 Suez Crisis and post-Suez Western foreign policy, and the Arab-Israeli conflict."
"Confidential Print: North America, 1824-1961",http://libproxy.clemson.edu/login?url=https://www.archivesdirect.amdigital.co.uk/CP_NorthAmerica,"This collection cover such topics as slavery, Prohibition, the First and Second World Wars, racial segregation, territorial disputes, the League of Nations, McCarthyism and the nuclear bomb. The bulk of the material covers the late nineteenth century and the first half of the twentieth century."
Congressional Publications,http://libproxy.clemson.edu/login?url=https://congressional.proquest.com/congressional/search/advanced/advanced,"includes legislative histories, bills & laws, vote report, committee prints, congressional record, CRS reports, hearings, House & Senate documents, House & Senate reports, Serial Set (1789-present), and Serial Set maps (1789-present)"
Congressional Serial Set (1817-1994),http://libproxy.clemson.edu/login?url=https://infoweb.newsbank.com/?db=SERIAL&s_startsearch=customized,"reports, documents, and journals of the U.S. Senate and House of Representatives"
Congressional Serial Set Maps,http://libproxy.clemson.edu/login?url=https://infoweb.newsbank.com/?db=SSMAP&s_startsearch=customized,"historical maps included with reports, documents, and journals published in the U.S. Congressional Serial Set"
Consumer Expenditure Survey,http://www.bls.gov/cex/,"information on the buying habits of American consumers; includes data on expenditures, income, and consumer unit characteristics"
Consumer Health Complete,"http://libproxy.clemson.edu/login?url=http://search.ebscohost.com/login.aspx?authtype=ip,uid&profile=chc",consumer-oriented health content. Access provided via Discus
CoOL: Conservation Online,http://cool.conservation-us.org/,"collaborative resource with links to full-text sources related to the conservation of library, archives, and museum materials, including a bibliographic database covering the Journal of the American Institute for Conservation."
Copper Technical Reference Library,http://libproxy.clemson.edu/login?url=https://search.proquest.com/copper?accountid=6167,"information on copper, its alloys, and related technology; 1965-present"
Core Historical Literature of Agriculture,http://chla.library.cornell.edu/,"early 19th century to late 20th century publications on topics including agricultural economics and engineering, animal science, crops and their protection, food science, forestry, and soil science"
Corrosion Abstracts,http://libproxy.clemson.edu/login?url=https://search.proquest.com/corrosionabstracts?accountid=6167,"covers general corrosion, testing, corrosion characteristics, preventive measures, materials construction and performance, and equipment for many industries; 1980-present"
COS Conference Proceedings,http://libproxy.clemson.edu/login?url=https://search.proquest.com/cpi?accountid=6167,"papers and posters presented at international scientific meetings; emphasis since 1995 on life, environmental, and aquatic sciences; older material also covers physics, engineering, and materials science; 1982-present"
Country Profiles (Mergent Online),http://libproxy.clemson.edu/login?url=http://www.mergentonline.com/compsearch.asp,"current country information
Limit: 20 simultaneous users"
CountryWatch,http://libproxy.clemson.edu/login?url=http://www.countrywatch.com/ip/default.aspx,current country information
CQ Press Political Reference Suite,http://libproxy.clemson.edu/login?url=http://knowledge.sagepub.com/cqpress,"reference works on government and politics including Congress and the Nation, Historic Documents, Political Handbook of the World, Politics in America, Supreme Court Yearbook, Vital Statistics on American Politics, and Washington Information Directory"
CQ Researcher,http://libproxy.clemson.edu/login?url=http://library.cqpress.com/cqresearcher,in-depth analysis of contemporary issues; 1991-present
CRC Handbook of Chemistry and Physics,http://libproxy.clemson.edu/login?url=https://hbcp.chemnetbase.com/,Guide to chemical and physical data.
Credo Reference,http://libproxy.clemson.edu/login?url=https://search.credoreference.com,"encyclopedias, dictionaries, quotations, crossword solver, measurement conversions, and more. Access provided via Discus"
Criminal Justice Abstracts with Full Text,"http://libproxy.clemson.edu/login?url=http://search.ebscohost.com/login.aspx?authtype=ip,uid&profile=ehost&defaultdb=i3h","indexes journals in criminal justice and criminology with 320+ full-text journals, magazines, books, and monographs"
"CSE Manual for Authors, Editors, and Publishers",http://libproxy.clemson.edu/login?url=https://www.scientificstyleandformat.org/Welcome.html,"The authoritative reference for authors, editors, publishers, students, and translators in all areas of science and related fields now is now fully searchable and easy to use."
CultureGrams,http://libproxy.clemson.edu/login?url=https://online.culturegrams.com/index.php,in-depth information on 200+ countries. Access provided via Discus
CumInCAD,http://papers.cumincad.org/,"CumInCAD is a Cumulative Index about publications in Computer Aided Architectural Design supported by the sibling associations ACADIA, CAADRIA, eCAADe, SIGraDi, ASCAAD and CAAD futures."
Current Biography Illustrated,"http://libproxy.clemson.edu/login?url=http://search.ebscohost.com/login.aspx?authtype=ip,uid&profile=ehost&defaultdb=cbi","profiles and images of celebrities, politicians, entrepreneurs, artists, and others; content from the monthly magazine Current Biography"
Current Contents Connect,http://libproxy.clemson.edu/login?url=https://webofknowledge.com/CCC,all subject areas; 1998-present
Daily Life,http://libproxy.clemson.edu/login?url=https://dailylife2.abc-clio.com/,"domestic, religious, political, and other aspects of daily life throughout the world from ancient times to the present"
Darwin Online: The Complete Works of Charles Darwin Online,http://darwin-online.org.uk/,complete text of published writings and unpublished papers
Data Axle Reference Solutions (Previously Reference USA),http://libproxy.clemson.edu/login?url=http://www.referenceusa.com,"This is a directory of more than 12 million U.S. businesses.
This database was previously called Reference USA Business Database."
Data Citation Index,http://libproxy.clemson.edu/login?url=https://apps.webofknowledge.com/DRCI_GeneralSearch_input.do?product=DRCI&SID=5EtxR2CKR3Yij8Xur88&search_mode=GeneralSearch,"access to quality research data from international, cross-disciplinary repositories"
dblp Computer Science Bibiography,http://dblp.uni-trier.de/db/index.html,"more than 3 million documents from over 5,000 conference and workshop series"
Defence Technical Information Center (DTIC),https://publicaccess.dtic.mil/padf_public/#/home,"the largest central resource for DoD and government-funded scientific, technical, engineering, and business-related information"
Defining Gender,http://libproxy.clemson.edu/login?url=https://www.gender.amdigital.co.uk/,"Defining Gender provides access to a vast body of original British source material that will enrich the teaching and research experience of those studying history, literature, sociology and education from a gendered perspective."
Derwent Innovations Index,http://libproxy.clemson.edu/login?url=https://webofknowledge.com/DIIDW,patent information from the Derwent World Patent Index and Patents Citation Index; 1963-present
Design & Applied Arts Index,http://libproxy.clemson.edu/login?url=https://search.proquest.com/?accountid=6167&selectids=1007381,design and craft information; 1973-present
Detail Inspiration,http://libproxy.clemson.edu/login?url=http://www.inspiration.detail.de/startseite.html?lang=en,"Searchable database of over 30 years of built projects documentation published in DETAIL: Review of architecture and structural engineering. Includes high-quality, downloadable images. Updated with each DETAIL issue.
If you experience problems opening PDF documents using Chrome, please try another browser."
Dialnet,https://dialnet.unirioja.es/,"index of science, social science, and arts and humanities journals from Spain, Portugal, and Latin America. Interface available in English, Spanish, and other languages. Full-text of selected articles available plus some ebooks, dissertations, theses, and other documents; 1980-present."
Dictionary of Accounting,http://libproxy.clemson.edu/login?url=http://www.oxfordreference.com/view/10.1093/acref/9780199563050.001.0001/acref-9780199563050,4th edition
Dictionary of Business and Management,http://libproxy.clemson.edu/login?url=http://www.oxfordreference.com/view/10.1093/acref/9780199234899.001.0001/acref-9780199234899,5th edition
Dictionary of Human Resource Management,http://libproxy.clemson.edu/login?url=http://www.oxfordreference.com/view/10.1093/acref/9780199298761.001.0001/acref-9780199298761,"covers technical terms, jargon, theories, and concepts; 2008 edition"
Dictionary of Literary Biography (Gale),http://libproxy.clemson.edu/login?url=https://go.gale.com/ps/start.do?p=DLBC&u=clemsonu_main,"biographical and critical essays on the lives, works, and careers of the world's most influential literary figures; vol. 373 and newer"
Dictionary of National Biography,http://libproxy.clemson.edu/login?url=http://www.oxforddnb.com/,"national record of men and women worldwide who have shaped British history and culture, from the Romans to the 21st century
Limit: 1 user at a time"
"Dictionary of Psychology (Oxford), 4th Edition",http://libproxy.clemson.edu/login?url=https://www.oxfordreference.com/view/10.1093/acref/9780199657681.001.0001/acref-9780199657681,4th edition
Dictionary of Sociology,http://libproxy.clemson.edu/login?url=http://www.oxfordreference.com/view/10.1093/acref/9780199533008.001.0001/acref-9780199533008,3rd revised edition
Dictionary of Statistics,http://libproxy.clemson.edu/login?url=http://www.oxfordreference.com/view/10.1093/acref/9780199541454.001.0001/acref-9780199541454,statistical terms and definitions
Dictionary of the Classical World,http://libproxy.clemson.edu/login?url=http://www.oxfordreference.com/view/10.1093/acref/9780192801463.001.0001/acref-9780192801463,"more than 2,500 entries on the civilizations of ancient Greece and Rome"
Dictionary of the U.S. Military,http://libproxy.clemson.edu/login?url=http://www.oxfordreference.com/view/10.1093/acref/9780199891580.001.0001/acref-9780199891580,"people, battles, ranks, attire, insignia, weapons, ships, and more"
Digest of Education Statistics,http://nces.ed.gov/programs/digest/,U.S. education statistic compilations for kindergarten to graduate school
Digital Transgender Archive,https://www.digitaltransgenderarchive.net/,"The purpose of the Digital Transgender Archive (DTA) is to increase the accessibility of transgender history by providing an online hub for digitized historical materials, born-digital materials, and information on archival holdings throughout the world. Based in Worcester, Massachusetts at the College of the Holy Cross, the DTA is an international collaboration among more than fifty colleges, universities, nonprofit organizations, public libraries, and private collections. By digitally localizing a wide range of trans-related materials, the DTA expands access to trans history for academics and independent researchers alike in order to foster education and dialog concerning trans history."
Directory of Open Access Journals (DOAJ),http://www.doaj.org/,hundreds of scientific and scholarly journals online
Dissertations & Theses - Clemson University,http://tigerprints.clemson.edu/etd/,full-text Clemson University theses and dissertations; Dec. 2006- present
Dissertations & Theses @ Clemson University,http://libproxy.clemson.edu/login?url=https://search.proquest.com/pqdtlocal1006836?accountid=6167,dissertations and theses 1960-present; full text available 1996-present
Dissertations & Theses Global,http://libproxy.clemson.edu/login?url=https://search.proquest.com/pqdtglobal/advanced?accountid=6167,"index to 3.8 million dissertations and theses in all subject areas with 600,000+ in full text; 1861-present"
Documenting the American South,http://docsouth.unc.edu/,"texts, images, and audio files related to southern history, literature, and culture"
Drama Online,http://libproxy.clemson.edu/login?url=https://www.dramaonlinelibrary.com,"1,500+ play texts, videos of Shakespeare plays performed at the Globe Theatre & of major Early Modern British plays, 350 audio recordings from the L.A. Theatre works, & more."
Early American Newspapers Series 1: From colonies to nation (1690-1876),http://libproxy.clemson.edu/login?url=https://infoweb.newsbank.com/?db=EANX,This collection includes more than 730 invaluable American newspapers; published in cooperation with the American Antiquarian Society and based on authoritative bibliographies.
"Early American Newspapers: Series 2, 1758-1900: The New Republic: Early-to-Mid 19th Century",http://libproxy.clemson.edu/login?url=https://infoweb.newsbank.com/?db=EANX,This collection includes more than 290 historical American newspapers from every region of the country.
Early English Books Online,http://libproxy.clemson.edu/login?url=https://search.proquest.com/eebo,"page images of virtually every work printed in England, Ireland, Scotland, Wales, and British North America and works in English printed elsewhere from 1473-1700"
"Earth, Atmospheric, & Aquatic Science Database",http://libproxy.clemson.edu/login?url=https://search.proquest.com/earthatmosphericaquatic?accountid=6167,geology and earth science papers and grey literature; includes GeoRef index and full-text content
East India Company,http://libproxy.clemson.edu/login?url=https://www.eastindiacompany.amdigital.co.uk/,"Includes three modules with correspondence, trading diaries, minutes of council meetings and reports of expeditions pertaining to British trade and rule in the Indian subcontinent and beyond from 1599 to 1947.
Module I: Trade, Governance and Empire, 1600-1947
Module II: Factory Records for South Asia and South East Asia, 1595-1830
Module III: Factory records for China, Japan and the Middle East, 1596-1870"
Ebook Central,http://libproxy.clemson.edu/login?url=https://ebookcentral.proquest.com/lib/clemson/home.action,"over 215,000 titles, including works purchased by Clemson and subscriptions from PASCAL; combines ebrary and EBL content"
eBooks (Gale),http://libproxy.clemson.edu/login?url=https://go.gale.com/ps/start.do?p=GVRL&u=clemsonu_main,Find online reference books from Gale on a variety of subjects.
EBSCO eBook Collection,"http://libproxy.clemson.edu/login?url=http://search.ebscohost.com/login.aspx?authtype=ip,uid&profile=ehost&defaultdb=nlebk&defaultdb=nlabk","more than 117,000 books from university presses, reference and professional books"
EBSCO Multiple Database Search,"http://libproxy.clemson.edu/login?url=http://search.ebscohost.com/login.aspx?authtype=ip,uid&profile=ehost",choose databases or select all for a more thorough but slower search
Ecology Abstracts,http://libproxy.clemson.edu/login?url=https://search.proquest.com/ecology?accountid=6167,"includes habitats, food chains, erosion, evolutionary biology, systems analysis, and more; 1982-present"
EconLit,"http://libproxy.clemson.edu/login?url=http://search.ebscohost.com/login.aspx?authtype=ip,uid&profile=ehost&defaultdb=ecn","economics literature; 1969-present
Limit: 4 simultaneous users"
Economist Historical Archive,http://libproxy.clemson.edu/login?url=http://infotrac.galegroup.com/itweb/clemsonu_main?db=ECON,fully searchable copies of The Economist from 1843-2006
Education Full Text,"http://libproxy.clemson.edu/login?url=http://search.ebscohost.com/login.aspx?authtype=ip,uid&profile=ehost&defaultdb=eft","full-text articles since 1996 plus periodical indexing since 1983 with in-depth coverage of special education and 100,000+ names of educational tests. Access provided via Discus"
Education Research Complete,"http://libproxy.clemson.edu/login?url=http://search.ebscohost.com/login.aspx?authtype=ip,uid&profile=ehost&defaultdb=ehh",full-text articles from professional education journals; dates vary by publication
Educator's Reference Complete (Gale),http://libproxy.clemson.edu/login?url=https://go.gale.com/ps/start.do?p=PROF&u=clemsonu_main,"academic journal, magazine, and newspaper articles plus educational reports; focuses on educational principles, child development and psychology, and best practices; 1980-present"
Eighteenth Century Collections Online (ECCO)(Gale),http://libproxy.clemson.edu/login?url=https://gdc.gale.com/gdc/artemis?fromProdId=ECCO&p=ECCO&u=clemsonu_main,"over 136,000 of the most significant English-language works published in the United Kingdom 1701-1800 plus many works in Dutch, French, German, Italian, Latin, Spanish, and Welsh"
Eighteenth Century Drama,http://libproxy.clemson.edu/login?url=https://www.eighteenthcenturydrama.amdigital.co.uk/,"Includes drama related to eighteenth-century society with plays that reflect the politics of the time, the role of women, views on race and religion, opinions on empire, and European and British history. Over 2,500 original submissions dating 1737 to 1824 are presented here."
Eighteenth Century Journals,http://libproxy.clemson.edu/login?url=https://www.eighteenthcenturydrama.amdigital.co.uk/,"This collection includes rare journals printed between c1685 and 1835, and the resource illuminates all aspects of eighteenth-century social, political and literary life."
EIS: Digests of Environmental Impact Statements,http://libproxy.clemson.edu/login?url=https://search.proquest.com/eisdigests?accountid=6167,index of environmental impact statements issued by the federal government with detailed abstracts; 1985-present
El Croquis Digital Library,http://libproxy.clemson.edu/login?url=https://elcroquisdigital.com/,"Full text access is provided to issues of El Croquis magazine.
Note: Access is limited to a single user at a time. If another researcher is logged into the platform, you will not be able to access full content and we ask that you try again later."
Empire Online,http://libproxy.clemson.edu/login?url=https://www.empire.amdigital.co.uk/,"This collection spans five centuries and charts the rise and fall of empires around the world. Empire Online enables students and researchers to explore colonial history, politics, culture and society. Documents from Africa, India and North America are also featured."
Enciclopedia juvenil,http://libproxy.clemson.edu/login?url=http://www.spanish.eb.com/juvenil,encyclopedia for early readers of Spanish. Access provided via Discus
Encyclopaedia Britannica,http://libproxy.clemson.edu/login?url=http://www.britannica.com,full-text access to topic entries. Access provided via Discus
Encyclopaedia Judaica,http://libproxy.clemson.edu/login?url=https://go.gale.com/ps/i.do?p=GVRL&sw=w&u=clemsonu_main&v=2.1&it=etoc&id=GALE%7C9780028660974&sid=bookmark-GVRL,This is the online edition of the 22-volume encyclopedia published in 2007.
Encyclopedia of Distance Learning,http://libproxy.clemson.edu/login?url=http://www.igi-global.com/gateway/book/352?accesstype=eaccess,"covers related issues, concepts, trends, and technologies"
Encyclopedia of Life,http://eol.org/,"created ""to increase awareness and understanding of living nature"""
Encyclopedia of Life Sciences,http://libproxy.clemson.edu/login?url=http://www.els.net,"biology, microbiology, biochemistry, genetics, botany, zoology, medicine, and ecology
Limit: 3 simultaneous users"
Encyclopedia of Philosophy,http://libproxy.clemson.edu/login?url=http://find.galegroup.com/openurl/openurl?url_ver=Z39.88-2004&url_ctx_fmt=info:ofi/fmt:kev:mtx:ctx&req_dat=info:sid/gale:ugnid:clemsonu_main&res_id=info:sid/gale:GVRL&ctx_enc=info:ofi:enc:UTF-8&rft_val_fmt=info:ofi/fmt:kev:mtx:book&rft_id=info:sid/gale:bmcode:recid/5BNM,2nd edition published 2006
Encyclopedia of Sex and Gender,http://libproxy.clemson.edu/login?url=http://www.credoreference.com/book/sprsg,"gender, gender differences, gender roles, relationships between the genders, and sexuality plus articles on over 80 cultures around the world"
Engineering Research Library,http://techxtra.tradepub.com/#startcontent,"articles, websites, books, industry news, job announcements, and more"
"Engineering Village (Compendex, GeoRef, INSPEC & Knovel)",http://libproxy.clemson.edu/login?url=http://www.engineeringvillage.com/home.url?acw=,"This platform provides access to content in engineering and related fields from 1884-present.
Access made possible with funding from the Callie Jones Shirley Library Endowment with 1884-1969 backfile access courtesy of the Class of '55"
Entrepreneurial Studies Source,"http://libproxy.clemson.edu/login?url=http://search.ebscohost.com/login.aspx?authtype=ip,uid&profile=ehost&defaultdb=ent","full-text for 125+ periodicals, 135 reference books, case studies, and company profiles plus videos from the Harvard Faculty Seminar Series and Vator.TV"
Entrepreneurship (Gale Business),http://libproxy.clemson.edu/login?url=https://go.gale.com/ps/start.do?p=SBRC&u=clemsonu_main,"Provides sample business plans, how-to guides, articles, and websites on how to start, finance, or manage a small business."
Entrez - The Life Sciences Search Engine,http://www.ncbi.nlm.nih.gov/sites/gquery,"includes PubMed, Nucleotide and Protein Sequences, Protein Structures, Complete Genomes, Taxonomy, OMIM (Online Mendelian Inheritance in Man), and others; some contain both text and references"
Environment Abstracts,http://libproxy.clemson.edu/login?url=https://search.proquest.com/envabstractsmodule?accountid=6167,"covers the impact of people and technology on the environment and the effectiveness of remedial policies and technologies; 950+ journals, conference papers and proceedings, and monographs"
Environmental Engineering Abstracts,http://libproxy.clemson.edu/login?url=https://search.proquest.com/environmentalengabstracts?accountid=6167,"technological and engineering aspects of air and water quality, environmental safety, and energy production; 1990-present"
Environmental Impact Statements: Digests,http://libproxy.clemson.edu/login?url=https://search.proquest.com/eisdigests?accountid=6167,"detailed abstracts and indexing of annual federal government environmental impact statements; includes a description of each project, its impact and consequences, and legal mandates; 1985-present"
ERIC,"http://libproxy.clemson.edu/login?url=http://search.ebscohost.com/login.aspx?authtype=ip,uid&profile=ehost&defaultdb=eric",education research; 1966-present; access provided via Discus
Espacenet,http://worldwide.espacenet.com/advancedSearch,free access to more than 90 million patent documents worldwide from 1836 to today
Essay and General Literature Index,"http://libproxy.clemson.edu/login?url=http://search.ebscohost.com/login.aspx?authtype=ip,uid&profile=ehost&defaultdb=egi","more than 224,000 essays from 8,700+ printed anthologies; 1985-present"
Essential Science Indicators (ESI),http://libproxy.clemson.edu/login?url=https://esi.clarivate.com/,"an analytical tool that helps you identify top-performing research in Web of Science Core Collection. It surveys 11,000+ journals from around the world to rank authors, institutions, countries, and journals in 22 broad fields based on publication and citation performance."
EuroDocs,https://eudocs.lib.byu.edu/index.php/Main_Page,"links to western European historical documents, many translated into English"
"European Colonialism in the Early 20th Century: French Colonialism in Africa: From Algeria to Madagascar, 1910-1930",http://libproxy.clemson.edu/login?url=http://go.galegroup.com/gdsc/i.do?id=6TZF&v=2.1&u=clemsonu_main&it=aboutCollections&p=GDSC&sw=w,"This collection comprises correspondence, studies and reports, cables, maps, and other kinds of documents related to U.S. consular activities."
"European Colonialism in the Early 20th Century: German Colonies to League of Nations Mandates in Africa, 1910-1929",http://libproxy.clemson.edu/login?url=http://go.galegroup.com/gdsc/i.do?id=6SCR&v=2.1&u=clemsonu_main&it=aboutCollections&p=GDSC&sw=w,"This collection comprises correspondence, studies and reports, cables, maps, and other kinds of documents related to U.S. consular activities."
"European Colonialism in the Early 20th Century: Italian Colonies in North Africa and Aggression in East Africa, 1930-1939",http://libproxy.clemson.edu/login?url=http://go.galegroup.com/gdsc/i.do?id=6TZG&v=2.1&u=clemsonu_main&it=aboutCollections&p=GDSC&sw=w,"This collection comprises correspondence, studies and reports, cables, maps, and other kinds of documents related to U.S. consular activities."
"European Colonialism in the Early 20th Century: Political and Economic Consolidation of Portuguese Colonies in Africa, 1910-1929",http://libproxy.clemson.edu/login?url=http://go.galegroup.com/gdsc/i.do?id=6TZE&v=2.1&u=clemsonu_main&it=aboutCollections&p=GDSC&sw=w,"This collection comprises correspondence, studies and reports, cables, maps, and other kinds of documents related to U.S. consular activities."
European Views of the Americas: 1493-1750,"http://libproxy.clemson.edu/login?url=http://search.ebscohost.com/login.aspx?authtype=ip,uid&profile=ehost&defaultdb=hev",a comprehensive guide to printed records about the Americas written in Europe before 1750. Access provided via Discus
"Everyday Life of Women in America, c.1800-1920",https://www.everydaylife.amdigital.co.uk/,"Provides content for the study of American social, cultural, and popular history during the nineteenth and early twentieth centuries. Includes thousands of fully searchable images of rare books, pamphlets, periodicals and broadsides addressing political, social and gender issues, religion, race, education, employment, marriage, sexuality, home and family life, health, and pastimes."
Executive Branch Documents,http://libproxy.clemson.edu/login?url=https://congressional.proquest.com/congressional/search/advanced/advanced,"executive branch publications listed in the Checklist of U.S. Public Documents 1789-1909 but not included in the Serial Set. Topics include business & industry, foreign trade, navigation, immigration & population, health, religious affiliations, and military operations; 1789-1932"
Explora for Educators,"http://libproxy.clemson.edu/login?url=https://search.ebscohost.com/login.aspx?authtype=ip,uid&profile=ehed","full-text magazines, business publications, and consumer health information for teen through adult audiences. Access provided via Discus"
Explora for Elementary & Middle Schools,"http://libproxy.clemson.edu/login?url=https://search.ebscohost.com/login.aspx?authtype=ip,uid&profile=ehk5","full-text magazine, encyclopedia, and dictionary content for elementary school students. Access provided via Discus."
Explora for High Schools,"http://libproxy.clemson.edu/login?url=https://search.ebscohost.com/login.aspx?authtype=ip,uid&profile=src_ic","full-text magazine, encyclopedia, and dictionary content for high school students. Access provided via Discus."
Exploring Race in Society,"http://libproxy.clemson.edu/login?url=https://search.ebscohost.com/login.aspx?authtype=ip,uid&groupid=main&profile=psr","This free research database offers essential content covering important issues related to race in society today. Essays, articles, reports and other reliable sources provide an in-depth look at the history of race and provide critical context for learning more about topics associated with race, ethnicity, diversity and inclusiveness."
Family Studies Abstracts,"http://libproxy.clemson.edu/login?url=http://search.ebscohost.com/login.aspx?authtype=ip,uid&profile=ehost&defaultdb=26h","includes marriage, divorce, family therapy, and other areas; 1979-present"
FastStats,http://www.cdc.gov/nchs/fastats/Default.htm,statistics on public health topics from the Centers for Disease Control and Prevention
Faulkner's Advisory on Computer and Communications Technologies (FACCTS),http://libproxy.clemson.edu/login?url=https://www.faulkner.com/products/faccts/,market research and product information for the computer industry
FDA Poisonous Plant Database,https://www.fda.gov/food/science-research-food/fda-poisonous-plant-database,This provides references to scientific literature on the toxic properties and effects of plants and plant parts.
FDA Recognized Consensus Standards,http://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfStandards/search.cfm,"the Center for Devices and Radiological Health (CDRH) reviews the use of national and international consensus standards, including declarations of conformity to these standards, during the evaluation of premarket submissions for medical devices"
Ferguson's Career Guidance Center,http://libproxy.clemson.edu/login?url=https://online.infobaselearning.com/Direct.aspx?pid=WE34&aid=95696,"Explore graduate program listings, articles for job hunting and workplace skills, an in-depth career interest assessment, job information for 100+ industries, and more."
Film & Television Literature Index with Full Text,"http://libproxy.clemson.edu/login?url=http://search.ebscohost.com/login.aspx?authtype=ip,uid&profile=ehost&defaultdb=f3h","film and television theory, preservation & restoration, cinematography, and more; 1950s-present"
Financial Times Historical Archives,http://libproxy.clemson.edu/login?url=http://infotrac.galegroup.com/itweb/clemsonu_main?db=FTHA,"full text of The Financial Times from 1888-2010, including its incorporation of Financial News in 1945"
Fire Insurance Maps Online (FIMo),http://libproxy.clemson.edu/login?url=https://fims.historicalinfo.com,"Fire Insurance Maps online (FIMo) is a research portal to find and view high-definition, color Fire Insurance Maps, Real Estate Atlases, Plat Books, and other historical maps showing building structures, building construction details, property ownership, property uses, and other useful information."
First World War,http://libproxy.clemson.edu/login?url=https://www.firstworldwar.amdigital.co.uk/,"The First World War portal provides primary sources for the study of the Great War, brought together in thematic modules that highlight the experiences of soldiers, civilians and governments on both sides of a conflict that shook the world.
Module I: Personal Experiences
Module II: Propaganda and Recruitment
Module III: Visual Perspectives and Narratives"
Food Science & Technology,"http://libproxy.clemson.edu/login?url=http://search.ebscohost.com/login.aspx?authtype=ip,uid&profile=ehost&defaultdb=ffh","FSTA includes food technology, human nutrition, biotechnology, toxicology, and packaging research content. Abstracts are provided from 1969 to present."
Forbes Magazine Archives,"http://libproxy.clemson.edu/login?url=http://search.ebscohost.com/login.aspx?authtype=ip,uid&profile=ehost&defaultdb=fba",issues of Forbes Magazine published 1917-2000
Foreign Firms Operating in the United States (now Uniworld Online),http://libproxy.clemson.edu/login?url=https://uniworldonline.com/search,"location and contact information for foreign firms and companies with a substantial investment in American operations, such as a wholly or partially owned subsidiary, affiliate, or branch"
"Foreign Office Files for China, 1919-1980",http://libproxy.clemson.edu/login?url=https://www.foreignofficefileschina.amdigital.co.uk/,"Featuring diplomatic dispatches, letters, newspaper cuttings, political pamphlets, reports of court cases and other materials, this collection represents a constant exchange of information between London and the British embassies and consulates. Due to the unique nature of the relationship between Britain and China, these formerly restricted first-hand accounts provide unprecedented levels of detail into a turbulent period in Chinese history."
"Foreign Office Files for India, Pakistan and Afghanistan, 1947-1980",http://libproxy.clemson.edu/login?url=https://www.foreignofficefilesindia.amdigital.co.uk/,"Foreign Office Files for India, Pakistan and Afghanistan, 1947-1980 consists of documents covering the Indian subcontinent including independence and partition, the Indian annexation of Hyderabad and Goa, war between India and Pakistan, tensions and war between India and China, the consolidation of power of the Congress Party in India, military rule in Pakistan, the turbulent independence of Bangladesh and the development of nuclear weapons in the region."
